,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
111,103,榴莲,Durian,广东省湛江市麻章区东简镇,2001年7月2日,12级，35m/s，970hPa,12级，35m/s，970hPa,"(21.014285, 110.497438)",21.014285,110.497438,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
112,103,榴莲,Durian,广西省钦州市钦南区犀牛脚镇,2001年7月2日,12级，35m/s，970hPa,10级，28m/s，980hPa,"(21.641698, 108.745939)",21.641698,108.745939,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
113,104,尤特,Utor,广东省汕尾市海丰县小漠镇,2001年7月6日,12级，35m/s，965hPa,11级，30m/s，970hPa,"(22.774983, 115.0384)",22.774983,115.0384,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
114,105,潭美,Trami,台湾省台东县大武乡,2001年7月11日,8级，20m/s，995hPa,8级，20m/s，995hPa,"(22.4141954, 120.907304)",22.4141954,120.907304,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
115,107,玉兔,Yutu,广东省茂名市电白县博贺镇,2001年7月26日,12级，33m/s，975hPa,12级，33m/s，975hPa,"(21.487748, 111.232299)",21.487748,111.232299,"('Guangdong Sheng', 'Maoming Shi')",Maoming Shi,Guangdong Sheng
116,108,桃芝,Toraji,台湾省花莲县丰滨乡,2001年7月30日,13级，40m/s，965hPa,13级，38m/s，965hPa,"(23.5851901, 121.5027404)",23.5851901,121.5027404,"('Guangdong Sheng', 'Maoming Shi')",Maoming Shi,Guangdong Sheng
117,108,桃芝,Toraji,福建省福州市连江县筱埕镇,2001年7月31日,13级，40m/s，965hPa,11级，30m/s，985hPa,"(26.291738, 119.794168)",26.291738,119.794168,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
118,108,桃芝,Toraji,山东省青岛市崂山区沿海地区,2001年8月1日,13级，40m/s，965hPa,7级，15m/s，993hPa,"(36.107538, 120.468956)",36.107538,120.468956,"('Shandong Sheng', 'Qingdao Shi')",Qingdao Shi,Shandong Sheng
119,114,菲特,Fitow,海南省文昌市龙楼镇,2001年8月29日,8级，20m/s，985hPa,7级，15m/s，995hPa,"(19.653286, 110.968604)",19.653286,110.968604,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
120,114,菲特,Fitow,广西省防城港市港口区企沙镇,2001年8月31日,8级，20m/s，985hPa,8级，18m/s，990hPa,"(21.575403, 108.479063)",21.575403,108.479063,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
121,114,菲特,Fitow,海南省澄迈县桥头镇,2001年9月3日,8级，20m/s，985hPa,6级，12m/s，1001hPa,"(19.954138, 109.933531)",19.954138,109.933531,"('Hainan Sheng', 'Chengmai Xian')",Chengmai Xian,Hainan Sheng
122,114,菲特,Fitow,广东省湛江市遂溪县草潭镇,2001年9月7日,8级，20m/s，985hPa,5级，10m/s，1004hPa,"(21.271442, 109.777234)",21.271442,109.777234,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
